countryID,country,goldMedals,silverMedals,bronzeMedals,totalMedals,population
1,United States,1180,959,841,2980,332915.073
2,United Kingdom,296,320,332,948,68207.116
3,Germany,293,293,306,892,83900.473
4,France,258,289,327,874,65426.179
5,Italy,257,224,261,742,60367.477
6,China,275,227,194,696,1444216.107
7,Sweden,205,222,234,661,10160.169
8,Australia,169,178,215,562,25788.215
9,Japan,183,172,200,555,126050.804
10,Russia,196,164,187,547,145912.025
11,Norway,192,176,160,528,5465.63
12,Canada,144,172,209,525,38067.903
13,Hungary,182,156,180,518,9634.164
14,Finland,144,148,180,472,5548.36
15,Netherlands,140,148,163,451,17173.099
16,Switzerland,109,124,125,358,8715.494
17,South Korea,127,116,114,357,51305.186
18,Austria,83,115,128,326,9043.07
19,Poland,79,96,145,320,37797.005
20,Romania,90,97,122,309,19127.774
21,Cuba,85,71,85,241,11317.505
22,Bulgaria,55,90,85,230,6896.663
23,Denmark,48,79,79,206,5813.298
24,Spain,49,72,50,171,46745.216
25,Belgium,44,56,61,161,11632.326
26,Brazil,37,42,71,150,213993.437
27,Ukraine,38,37,72,147,43466.819
28,New Zealand,53,34,53,140,4860.643
29,Greece,35,45,41,121,10370.744
30,Kenya,35,42,36,113,54985.698
31,Turkey,41,26,37,104,85042.738
32,Belarus,21,35,47,103,9442.862
33,Czech Republic,28,32,38,98,10724.555
34,South Africa,27,33,29,89,60041.994
35,Jamaica,26,36,25,87,2973.463
36,Kazakhstan,16,24,40,80,18994.962
37,Argentina,21,26,30,77,45605.826
38,Iran,24,23,29,76,85028.759
39,Mexico,13,24,36,73,130262.216
40,Ethiopia,23,12,23,58,117876.227
41,North Korea,16,17,23,56,25887.041
42,Croatia,18,19,15,52,4081.651
43,Azerbaijan,7,14,28,49,10223.342
44,Slovenia,10,14,21,45,2078.724
45,Estonia,14,11,18,43,1325.185
46,Georgia,10,12,18,40,3979.765
47,Slovakia,13,18,9,40,5460.721
48,Egypt,8,11,19,38,104258.327
49,Uzbekistan,11,6,20,37,33935.763
50,Indonesia,8,14,15,37,276361.783
51,Ireland,11,10,14,35,4982.907
52,Thailand,10,8,17,35,69950.85
53,India,10,9,16,35,1393409.038
54,Colombia,5,13,16,34,51265.844
55,Latvia,5,14,11,30,1866.942
56,Mongolia,2,11,17,30,3329.289
57,Portugal,5,9,14,28,10167.925
58,Nigeria,3,11,13,27,211400.708
59,Lithuania,6,7,13,26,2689.862
60,Serbia,6,7,11,24,8697.55
61,Morocco,7,5,12,24,37344.795
62,Trinidad and Tobago,3,5,11,19,1403.375
63,Venezuela,3,7,9,19,28704.954
64,Armenia,2,8,8,18,2968.127
65,Algeria,5,4,8,17,44616.624
66,Bahamas,8,2,6,16,396.913
67,Tunisia,5,3,7,15,11935.766
68,Philippines,1,5,8,14,111046.913
69,Israel,3,1,9,13,8789.774
70,Chile,2,7,4,13,19212.361
71,Malaysia,0,8,5,13,32776.194
72,Dominican Republic,3,5,4,12,10953.703
73,Uganda,4,4,3,11,47123.531
74,Liechtenstein,2,2,6,10,38.25
75,Puerto Rico,2,2,6,10,2828.255
76,Uruguay,2,2,6,10,3485.151
77,Pakistan,3,3,4,10,225199.937
78,Hong Kong,2,3,4,9,7552.81
79,Qatar,2,1,5,8,2930.528
80,Zimbabwe,3,4,1,8,15092.171
81,Kyrgyzstan,0,3,4,7,6628.356
82,Moldova,0,2,4,6,4024.019
83,Cameroon,3,1,2,6,27224.265
84,Namibia,0,5,0,5,2587.344
85,Singapore,1,2,2,5,5896.686
86,Ecuador,3,2,0,5,17888.475
87,Ghana,0,1,4,5,31732.129
88,Vietnam,1,3,1,5,98168.833
89,Iceland,0,2,2,4,343.353
90,Luxembourg,1,3,0,4,634.814
91,Bahrain,2,2,0,4,1748.296
92,Costa Rica,1,1,2,4,5139.052
93,Lebanon,0,2,2,4,6769.146
94,Tajikistan,1,1,2,4,9749.627
95,Syria,1,1,2,4,18275.702
96,Ivory Coast,1,1,2,4,27053.629
97,Peru,1,3,0,4,33359.418
98,Saudi Arabia,0,2,2,4,35340.683
99,San Marino,0,1,2,3,34.017
100,Grenada,1,1,1,3,113.021
101,Fiji,2,0,1,3,902.906
102,Kuwait,0,0,3,3,4328.55
103,Panama,1,0,2,3,4381.579
104,Jordan,1,1,1,3,10269.021
105,Bermuda,1,0,1,2,62.09
106,Suriname,1,0,1,2,591.8
107,North Macedonia,0,1,1,2,2082.658
108,Botswana,0,1,1,2,2397.241
109,United Arab Emirates,1,0,1,2,9991.089
110,Haiti,0,1,1,2,11541.685
111,Burundi,1,1,0,2,12255.433
112,Zambia,0,1,1,2,18920.651
113,Sri Lanka,0,2,0,2,21497.31
114,Niger,0,1,1,2,25130.817
115,Mozambique,1,0,1,2,32163.047
116,Afghanistan,0,0,2,2,39835.428
117,Tanzania,0,2,0,2,61498.437
118,Tonga,0,1,0,1,106.76
119,Samoa,0,1,0,1,200.149
120,Barbados,0,0,1,1,287.711
121,Montenegro,0,1,0,1,628.053
122,Guyana,0,0,1,1,790.326
123,Djibouti,0,0,1,1,1002.187
124,Cyprus,0,1,0,1,1215.584
125,Mauritius,0,0,1,1,1273.433
126,Gabon,0,1,0,1,2278.825
127,Eritrea,0,0,1,1,3601.467
128,Turkmenistan,0,1,0,1,6117.924
129,Paraguay,0,1,0,1,7219.638
130,Togo,0,0,1,1,8478.25
131,Senegal,0,1,0,1,17196.301
132,Guatemala,0,1,0,1,18249.86
133,Burkina Faso,0,0,1,1,21497.096
134,Iraq,0,0,1,1,41179.35
135,Sudan,0,1,0,1,44909.353
